2,0,어? 못 보던 얼굴이네.,윤지현
2,1,새 알바생인가요? ,
2,2,저는 이 카페에 모인 감정을 수거하러 오는 사람입니다.,
2,3,이래 보여도 경찰이에요.,
2,4,앞으로 사흘에 한 번씩은 얼굴을 보게 될 거예요.,
2,5,수거된 감정들은 정부에서 발전을 위해 사용할 겁니다.,
2,6,"아, 그러니까 에너지원을 대신해서요.",
2,7,"맞아요. 석탄, 석유, 뭐 이런 거 대신.",
2,8,"... 아, 근데 이걸 어쩌나.",
2,9,"학생, 잠깐 이것 좀 봐요.",
2,10,이번 회차는 유독 부정적인 감정이 좀 높은 거 보이죠?,
21,11,"지금까지의 통계를 보면, 대부분의 경우 긍정적인 감정과 부정적인 감정이 비슷한 수준으로 수집됐어요.",
2,12,"그리고 이게, 이걸 말해도 되는지 잘 모르겠는데, 가짜 감정이라는 게 있어요.",
2,13,감지기에 찍히는 감정이랑 실제 주는 감정이 다른 걸 가짜 감정이라고 하거든요.,
2,14,근데 이걸 받으면... 저희가 많이 곤란해서요. 좀 많이.,
2,15,"부정적인 감정은, 긍정적인 감정들이랑 다르게 발전에 별 도움이 안 되거든요.",
2,16,이렇게 감정 토큰들의 비율이 이상해지면 저희 서에서는 가짜 감정이 유입된 걸로 판단해요.,
21,17,이런 식으로 효율이 계속 떨어지면 다음 번에는 내가 아니라 저 윗사람이 오게 될 거예요.,
2,18,아무튼 이 가짜 감정만 조심해 주시면 됩니다.,
2,19,사흘 뒤에 볼 때는 이런 문제가 없기를 바랄게요.,
