0,9,안녕!,오진우,
0,10,너가 김유진이구나? 나는 독고 알렉산더 레이몬드라고 불러줘.,,
0,11,그리고 점장님 원래 저러시니까 흘려들어. 첫날부터 왜 저러시는지...,,
0,12,"자, 오른쪽으로 오면 에스프레소 머신이 있는데, 이걸 한번 작동시켜 볼래?",,"오른쪽으로 화면이동, 에스프레소 머신 클릭하면 다음 대사로 넘어감, 에스프레소 머신에 강조 효과"
0,13,여기 왼쪽에 있는 버튼들을 누르면 샷이 한 번 나와. ,,버튼에 강조
0,14,"오른쪽에 있는 버튼들은 누르면 샷이 두 번 나오는데, 한 번에 두 잔이 나오는 방식이야.",이서준,
0,15,이쪽에 있는 버튼들은 추출 방식을 조정하는 버튼들이야. ,,버튼에 강조
0,16,이 버튼들로 추출 방식을 바꿔서 추출하면 돼.,,
0,17,"가장 왼쪽의 버튼은 리스트레또 방식인데, 이 방식으로 추출하면 신맛이 강해지고 쓴맛이 옅어져.",,"버튼에 강조, 신/쓴 글자 색 다르게"
0,18,"가운데 버튼은 에스프레소 방식이고, 가장 보편적이고 많이 쓰이는 방식이야.",,버튼에 강조
0,19,"맨 오른쪽 버튼은 룽고 방식이야. 리스트레또와 반대로, 쓴맛이 강해지고 신맛이 옅어져.",,"버튼에 강조, 신/쓴 글자 색 다르게"
0,20,"만약 손님이 신맛, 쓴맛에 대해 아무 말이 없다면 그냥 에스프레소로 뽑으면 되고,",,신/쓴 글자 색 다르게
0,21,"신 커피나 쓰지 않은 커피를 원하면 리스트레또로, 쓴 커피나 시지 않은 커피를 원하면 룽고로 뽑아 주면 돼.",,신/쓴 글자 색 다르게
0,22,한번 해 볼래?,박수빈,
0,23,신맛이 나는 에스프레소 한 잔 뽑아 줘.,,신/쓴 글자 색 다르게
0,24,"그러니까, 리스트레또로 샷 한 번 추가해 달라는 말이야.",,"다른 버튼 누르면 꼽줌, 여러 번 틀리면 점점 더 심한 말을 함"
0,25,"오, 잘하는데? 카페 알바 해 본 적 있어?",,
0,26,혹시 나중에 헷갈리면 여기 매뉴얼을 참고해도 좋아!,,
0,27,"아, 그리고 혹시나 해서 하는 말인데, 커피를 만들 때 너무 많이 틀리지 않게 조심해야 할 거야.",윤지현,
0,28,"틀린 횟수, 낭비된 재료만큼 네 일급에서 까일 거니까.",,
0,29,"오늘은 커피 만드는 방법만 배우고, 계산하는 건 내일 알려 줄게.",,
0,30,알고는 있지? 우리는 감정을 받는 거.,,
0,31,"아무튼, 난 이제 설거지하러 가 볼게.",,
0,32,맛있는 커피 잘 부탁해!,,
1,0,안녕! 오늘은 일찍 왔네?,이서준,
1,1,어제 일하는 거 봤는데 꽤 잘하더라? 소질이 있어 보여.,,
1,2,그러면 오늘은 일 한두 가지 더 시켜도 되겠지?,,
1,3,일단 어제 얘기했던 대로 계산하는 것부터 알려 줄게.,,
1,4,"다 알고 왔겠지만, 우리 카페는 정부에서 지정한 ""감정 토큰 결제 가능"" 카페라 말이지,",,
1,5,모든 결제는 감정 토큰을 통해서 이뤄져.,,
1,6,이 기계를 손님들 손목에 가져다 대면 자동으로 감정 토큰이 나오는 형식이야.,,
1,7,우린 그걸 받아서 이 보관함에 넣으면 되는 거지.,,
1,8,하루 동안 모은 토큰은 매일 퇴근할 때 체크하니까 판매량하고 일치하지 않으면 큰일 나.,,
1,9,계산 관련 설명은 여기까지. 쉬우니까 하다 보면 금방 익숙해질 거야.,,
1,10,다음은 아메리카노 만드는 법을 가르쳐 줄게.,박수빈,
1,11,"아메리카노는 핫과 아이스 두 종류가 있는데, 간단해!",,
1,12,일단 핫을 만들어 보자!,,
1,13,"여기 정수기에서 물 300ml를 받고,",,
1,14,샷 2개를 넣으면 돼.,,
1,15,아이스는 물을 150ml만 넣어도 돼.,,
1,16,"그리고 똑같이 샷 2개를 넣고,",,
1,17,냉장고에서 얼음을 꺼내서 넣어 줘.,,
1,18,"어때, 쉽지?",,
1,19,오늘 일도 힘내서 해 보자!,,
4,6,응? 날 찾는 사람이 있다고?,,
4,7,대화하고 올 동안 혼자서 잘하고 있을 수 있지?,,대화하러 감
4,8,......,,주인공이 손님 세 명 정도 받은 이후에 돌아와서
4,9,오늘따라 고무장갑이 좀 답답하네.,,
4,10,오늘은 먼저 가봐야 할 것 같아.,,
7,0,아이쿠.,,
7,1,딴 생각을 너무 했나...,,
7,2,유진아! 나중에 설거지 좀 도와줄 수 있어?,,
7,3,아니... 아픈 건 아닌데 뭔가 잘 안 되네...,,
7,4,......,,
9,4,"유진아, 지금 퇴근해?",,하루 끝나고
9,5,가기 전에 잠깐 이리로 와 봐.,,
9,6,"너한테만 알려 주는 건데, 내일 조심해서 출근해.",,
9,7,"꼭 양옆 잘 살피고, 차 조심, 사람 조심.",,
9,8,알겠지?,,
9,9,무슨 일인지는 물어보지 말고.,,
9,10,"그럼 내일 보자, 안녕!",,
11,5,저를 찾으셨다구요?,,
11,6,무슨 일이시죠?,,
11,9,어제... 10시에는 아파서 집에서 쉬고 있었습니다.,,
11,11,증거... 는 없지만 최근 몸 상태가 별로여서 일도 잘 안 되고...,,
11,12,"유진이가 알고 있을 겁니다. 설거지 담당이 저인데, 며칠 전에 대신 해 줬거든요.",,
14,15,"유진아, 오늘 마감하고 잠깐 시간 괜찮아?",,
14,16,널 잠깐 만나고 싶다고 하시는 분이 계셔서.,,
14,24,"그럼그럼, 나 대신 설거지도 잘하던걸.",,
15,0,좋은 아침!,,
15,1,"어젠 너무 갑작스러웠지, 유진아.",,
15,2,다시 한번 잘 부탁해. 이번에는...,,
15,3,반란군의 일원으로서.,,
15,4,일단 첫 번째 할 일이 생겼어.,,
15,5,"나는 반란군이 되고 나서 바로 시위에 참여했었는데,",,
15,6,이번에는 너도 반란군에 합류했으니 바로 현장에 뛰어들기보다는 우리 둘이서 이 카페를 맡기를 바라시더라고.,,
15,7,일단 우리는 평소대로 카페에서 일하면서 정부의 움직임을 주시할 거야.,,
15,8,"가짜 감정을 조금 더 늘리고, 가능하면 카페에 모인 감정도 빼돌릴 계획인가 봐.",,
15,9,정부 쪽에서도 너를 주시하고 있는 것 같으니까 늘 조심해야 해.,,
15,10,그럼 오늘도 잘 해보자구.,,
,,,,
